"","Row.names","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ID","Gene"
"1","ENSMUSG00000000001.4",1612.73276954695,-0.27569106596858,0.190110456103916,-1.45016256137897,0.147013192511472,0.670471139942001,"ENSMUSG00000000001.4","GNAI3"
"2","ENSMUSG00000000028.15",66.5192578504463,0.475728076726501,0.601111445930728,0.79141410456743,0.428702381968735,0.838415941276197,"ENSMUSG00000000028.15","CDC45"
"3","ENSMUSG00000000031.16",243.79072575582,0.184899240782731,0.814277076524618,0.227071651791908,0.820368026902926,0.957298446529802,"ENSMUSG00000000031.16","H19"
"4","ENSMUSG00000000037.17",4.30454848096223,-0.792587069827468,1.9135678695759,-0.41419334136454,0.678732517906751,NA,"ENSMUSG00000000037.17","SCML2"
"5","ENSMUSG00000000049.11",2.52047405664447,-2.18297730187804,1.93228592481729,-1.1297382410341,0.25858653845703,NA,"ENSMUSG00000000049.11","APOH"
"6","ENSMUSG00000000056.7",431.838019365072,-0.0813723250664346,0.320460925036367,-0.253922767829495,0.799555224946602,0.953521618398037,"ENSMUSG00000000056.7","NARF"
"7","ENSMUSG00000000058.6",403.432012558753,-0.514499390820968,0.539263218880364,-0.954078403287339,0.340043957149453,0.797177245951819,"ENSMUSG00000000058.6","CAV2"
"8","ENSMUSG00000000078.7",1899.46881133711,-0.649906710330063,0.23319253902869,-2.78699615792641,0.00531991097289654,0.218970843361089,"ENSMUSG00000000078.7","KLF6"
"9","ENSMUSG00000000085.16",556.874859080681,-0.135393622989661,0.178110696609999,-0.76016559121166,0.447155609816146,0.847756234224291,"ENSMUSG00000000085.16","SCMH1"
"10","ENSMUSG00000000088.7",355.935064693155,0.28025355985832,0.189592513139293,1.47818896019601,0.139357207996162,0.658960512096136,"ENSMUSG00000000088.7","COX5A"
"11","ENSMUSG00000000093.6",103.728325784054,-0.996932792704838,0.324999309878351,-3.0674920296846,0.00215863217215086,0.136392404135819,"ENSMUSG00000000093.6","TBX2"
"12","ENSMUSG00000000094.12",4.32552200210186,-1.75297473193689,1.66587134421478,-1.05228698364049,0.29266790173561,NA,"ENSMUSG00000000094.12","TBX4"
"13","ENSMUSG00000000120.6",44.7040138527801,-0.405197556703469,0.538705810496256,-0.752168528366532,0.451949717150382,0.849892548228634,"ENSMUSG00000000120.6","NGFR"
