"","Row.names","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ID","Gene"
"1","ENSMUSG00000000001.4",1656.32979218273,-0.144660874947707,0.244508843422015,-0.591638621013093,0.554092606085594,0.999871238568111,"ENSMUSG00000000001.4","GNAI3"
"2","ENSMUSG00000000028.15",71.3028560474663,0.607451036426352,0.757457024135312,0.801961057948863,0.422575484848402,0.999871238568111,"ENSMUSG00000000028.15","CDC45"
"3","ENSMUSG00000000031.16",332.366280739601,0.81331330400645,0.762729561617001,1.0663193678795,0.286279297222499,0.999871238568111,"ENSMUSG00000000031.16","H19"
"4","ENSMUSG00000000037.17",7.50596078758769,0.567710923560758,1.72039862800798,0.329988012265565,0.741409020084968,0.999871238568111,"ENSMUSG00000000037.17","SCML2"
"5","ENSMUSG00000000049.11",2.8573418569447,-1.22167622297471,1.78318207005778,-0.68511019905843,0.493274384823125,0.999871238568111,"ENSMUSG00000000049.11","APOH"
"6","ENSMUSG00000000056.7",391.933036568499,-0.254177690112569,0.360251505879835,-0.705556218264226,0.480464159329111,0.999871238568111,"ENSMUSG00000000056.7","NARF"
"7","ENSMUSG00000000058.6",449.929904014211,-0.162965776963819,0.673322351390318,-0.242032329132275,0.808755112787223,0.999871238568111,"ENSMUSG00000000058.6","CAV2"
"8","ENSMUSG00000000078.7",1942.33795672951,-0.473049656919051,0.346209834357204,-1.36636689653067,0.171823833620753,0.999871238568111,"ENSMUSG00000000078.7","KLF6"
"9","ENSMUSG00000000085.16",488.090371729127,-0.384318222724562,0.320364712364703,-1.19962719953705,0.230284158132899,0.999871238568111,"ENSMUSG00000000085.16","SCMH1"
"10","ENSMUSG00000000088.7",387.453198160625,0.458799922437192,0.325536488566446,1.40936558128274,0.158727095965787,0.999871238568111,"ENSMUSG00000000088.7","COX5A"
"11","ENSMUSG00000000093.6",182.761808639608,0.4684514356286,0.646888210564343,0.724161343456739,0.468966687763727,0.999871238568111,"ENSMUSG00000000093.6","TBX2"
"12","ENSMUSG00000000094.12",4.69921323790367,-1.14471153955317,1.47541567928543,-0.775856970767432,0.437833441400312,0.999871238568111,"ENSMUSG00000000094.12","TBX4"
"13","ENSMUSG00000000120.6",119.894220502371,1.58109292807483,0.867388508462708,1.82281977758391,0.0683306912592449,0.999871238568111,"ENSMUSG00000000120.6","NGFR"
"14","ENSMUSG00000000126.11",514.227487726103,-0.816986074438437,1.06695832186232,-0.765715077804002,0.443845853548044,0.999871238568111,"ENSMUSG00000000126.11","WNT9A"
"15","ENSMUSG00000000127.15",458.938085489197,-0.000817948636115563,0.355644918690416,-0.00229990249580249,0.998164944925017,0.999965053331045,"ENSMUSG00000000127.15","FER"
"16","ENSMUSG00000000131.15",1132.04640401415,0.188787513234332,0.233481759863375,0.808574996799764,0.418759651511703,0.999871238568111,"ENSMUSG00000000131.15","XPO6"
"17","ENSMUSG00000000134.17",432.251235309994,0.497307808097048,0.272231478234208,1.8267828956547,0.067732418601719,0.999871238568111,"ENSMUSG00000000134.17","TFE3"
"18","ENSMUSG00000000142.15",1029.38025483425,-0.309328792035613,0.818788532401014,-0.377788378555495,0.705587807620572,0.999871238568111,"ENSMUSG00000000142.15","AXIN2"
"19","ENSMUSG00000000148.17",279.733831692799,0.0806279919988512,0.457166271071512,0.176364699455789,0.860007435684853,0.999871238568111,"ENSMUSG00000000148.17","BRAT1"
"20","ENSMUSG00000000149.10",1214.40283863173,0.186896788952152,0.440393239913996,0.424386144048557,0.671284224096901,0.999871238568111,"ENSMUSG00000000149.10","GNA12"
"21","ENSMUSG00000000154.16",15.2334069047772,0.750880596644128,0.69349595885989,1.08274689571166,0.278920782456818,0.999871238568111,"ENSMUSG00000000154.16","SLC22A18"
"22","ENSMUSG00000000167.14",12.3402618154555,0.46035713287317,0.767433159605049,0.599866095322344,0.548595479750974,0.999871238568111,"ENSMUSG00000000167.14","PIH1D2"
"23","ENSMUSG00000000168.9",453.870572536738,0.21930287931985,0.336167949107654,0.652361059113402,0.514168279049438,0.999871238568111,"ENSMUSG00000000168.9","DLAT"
"24","ENSMUSG00000000171.5",574.642669967458,0.0354626837166819,0.234148367168847,0.151453901410764,0.879617672622322,0.999871238568111,"ENSMUSG00000000171.5","SDHD"
"25","ENSMUSG00000000182.9",3.14940845875009,2.14362260232382,1.45439184791325,1.47389618925566,0.140509543945522,0.999871238568111,"ENSMUSG00000000182.9","FGF23"
"26","ENSMUSG00000000184.12",4382.92745905204,0.546905252143605,0.546007894357724,1.00164348866592,0.316515809152391,0.999871238568111,"ENSMUSG00000000184.12","CCND2"
"27","ENSMUSG00000000194.13",772.284832335201,-0.162802705110765,0.19837951570782,-0.820662882101931,0.411838318883644,0.999871238568111,"ENSMUSG00000000194.13","GPR107"
"28","ENSMUSG00000000197.8",25.1173122078373,-1.69124653116415,0.811792196361038,-2.08334908705131,0.0372194154301421,0.999871238568111,"ENSMUSG00000000197.8","NALCN"
"29","ENSMUSG00000000202.9",37.4636822005981,0.191017168502445,0.83598190564596,0.228494381531914,0.819261923496685,0.999871238568111,"ENSMUSG00000000202.9","BTBD17"
"30","ENSMUSG00000000204.16",8.38408864027949,1.60674581508538,2.0290474916058,0.791871960480229,0.428435337863644,0.999871238568111,"ENSMUSG00000000204.16","SLFN4"
